STATUS;DATA SOLICITAÇÃO;PAÍS DE ORIGEM;GÊNERO;ANO DE NASCIMENTO;CIDADE SOLICITAÇÃO;DATA DA  DECISÃO
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2017;VENEZUELA;M;1986;CURITIBA;29/06/2018
PERDA DA CONDIÇÃO DE REFUGIADO;2013;LÍBANO;M;1989;GOIÂNIA;25/05/2018
CESSAÇÃO;2013;COLÔMBIA;M;1984;BRASÍLIA;29/06/2018
CESSAÇÃO;2014;SÍRIA;M;1984;GUARUJÁ;25/05/2018
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO;2017;REP. DEM. DO CONGO;F;1991;BRASÍLIA;30/03/2018
ELIGIBILIDADE - DEFERIDO;2016;SÍRIA;M;1998;BRASÍLIA;25/05/2018
ELIGIBILIDADE - INDEFERIDO;2015;ANGOLA;M;1985;SÃO PAULO;30/03/2018
ELIGIBILIDADE - DEFERIDO;2015;SÍRIA;M;1989;SÃO PAULO;27/04/2018
ELIGIBILIDADE - DEFERIDO;2015;SÍRIA;M;1968;SÃO PAULO;29/06/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2014;SENEGAL;M;1988;BRASILÉIA;27/04/2018
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO;2017;REP. DEM. DO CONGO;M;1990;SÃO PAULO;25/05/2018
ELIGIBILIDADE - DEFERIDO;2015;SÍRIA;M;2000;BELO HORIZONTE;30/03/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2017;ANGOLA;M;1991;SÃO PAULO;25/05/2018
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO;2017;SÍRIA;F;1941;BRASÍLIA;27/04/2018
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO;2016;REP. DEM. DO CONGO;M;1994;SÃO PAULO;29/06/2018
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO;2017;SÍRIA;F;1992;SÃO PAULO;26/01/2018
