STATUS,DATA SOLICITAÇÃO,PAÍS DE ORIGEM,GÊNERO,ANO DE NASCIMENTO,CIDADE SOLICITAÇÃO,DATA DA  DECISÃO,SIGLA
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,M,1986.0,CURITIBA,2018-06-29,VE
PERDA DA CONDIÇÃO DE REFUGIADO,2013,LÍBANO,M,1989.0,GOIÂNIA,2018-05-25,LB
CESSAÇÃO,2013,COLÔMBIA,M,1984.0,BRASÍLIA,2018-06-29,CO
CESSAÇÃO,2014,SÍRIA,M,1984.0,GUARUJÁ,2018-05-25,SY
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO,2017,REP. DEM. DO CONGO,F,1991.0,BRASÍLIA,2018-03-30,CD
ELIGIBILIDADE - DEFERIDO,2016,SÍRIA,M,1998.0,BRASÍLIA,2018-05-25,SY
ELIGIBILIDADE - INDEFERIDO,2015,ANGOLA,M,1985.0,SÃO PAULO,2018-03-30,AO
ELIGIBILIDADE - DEFERIDO,2015,SÍRIA,M,1989.0,SÃO PAULO,2018-04-27,SY
ELIGIBILIDADE - DEFERIDO,2015,SÍRIA,M,1968.0,SÃO PAULO,2018-06-29,SY
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO),2014,SENEGAL,M,1988.0,BRASILÉIA,2018-04-27,SN
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO,2017,REP. DEM. DO CONGO,M,1990.0,SÃO PAULO,2018-05-25,CD
ELIGIBILIDADE - DEFERIDO,2015,SÍRIA,M,2000.0,BELO HORIZONTE,2018-03-30,SY
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO),2017,ANGOLA,M,1991.0,SÃO PAULO,2018-05-25,AO
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO,2017,SÍRIA,F,1941.0,BRASÍLIA,2018-04-27,SY
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO,2016,REP. DEM. DO CONGO,M,1994.0,SÃO PAULO,2018-06-29,CD
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO,2017,SÍRIA,F,1992.0,SÃO PAULO,2018-01-26,SY
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO,2017,REP. DEM. DO CONGO,M,1992.0,RIO DE JANEIRO,2018-04-27,CD
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO),2015,REP. DEM. DO CONGO,M,1989.0,SÃO PAULO,2018-01-26,CD
ELIGIBILIDADE - INDEFERIDO,2014,COLÔMBIA,M,1953.0,MANAUS,2018-06-29,CO
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO,2018,REP. DEM. DO CONGO,M,1984.0,BRASÍLIA,2018-02-21,CD
ELIGIBILIDADE - INDEFERIDO,2015,SENEGAL,M,1977.0,RIO DE JANEIRO,2018-04-27,SN
ELIGIBILIDADE - INDEFERIDO,2015,BANGLADESH,M,1992.0,GUARULHOS,2018-02-21,BD
PERDA DA CONDIÇÃO DE REFUGIADO,2012,LÍBANO,M,1988.0,SÃO PAULO,2018-01-26,LB
PERDA DA CONDIÇÃO DE REFUGIADO,2013,SÍRIA,F,1987.0,CAXIAS DO SUL,2018-06-29,SY
ELIGIBILIDADE - INDEFERIDO,2015,ANGOLA,F,1974.0,SÃO PAULO,2018-05-25,AO
ELIGIBILIDADE - INDEFERIDO,2015,BANGLADESH,M,1985.0,GUARULHOS,2018-01-26,BD
ELIGIBILIDADE - DEFERIDO,2014,GUINÉ,M,1967.0,BARRACÃO,2018-02-21,GN
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO),2018,CUBA,F,1977.0,FORTALEZA,2018-07-27,CU
ELIGIBILIDADE - DEFERIDO,2015,SÍRIA,M,1993.0,BRASÍLIA,2018-07-27,SY
ELIGIBILIDADE - INDEFERIDO,2015,ANGOLA,F,1997.0,SÃO PAULO,2018-07-27,AO
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO,2017,SÍRIA,F,1996.0,SÃO PAULO,2018-07-27,SY
ELIGIBILIDADE - DEFERIDO,2016,SÍRIA,M,2012.0,JUÍZ DE FORA,2018-07-27,SY
ELIGIBILIDADE - DEFERIDO,2017,SÍRIA,M,1994.0,RIO DE JANEIRO,2018-10-30,SY
ELIGIBILIDADE - INDEFERIDO,2013,SENEGAL,M,1984.0,BRASILÉIA,2018-10-30,SN
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO),2015,CUBA,M,1990.0,SÃO PAULO,2018-10-30,CU
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO,2018,CUBA,M,1984.0,BRASÍLIA,2018-10-30,CU
PERDA DA CONDIÇÃO DE REFUGIADO,2013,PAQUISTÃO,M,1995.0,BRASÍLIA,2018-10-30,PK
CESSAÇÃO,2014,REP. DEM. DO CONGO,M,2014.0,RIO DE JANEIRO,2018-10-30,CD
ELIGIBILIDADE - DEFERIDO,2015,SÍRIA,M,1995.0,CURITIBA,2018-11-29,SY
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO,2017,ANGOLA,F,1977.0,BRASÍLIA,2018-11-29,AO
ELIGIBILIDADE - INDEFERIDO,2015,SENEGAL,M,1984.0,RIO BRANCO,2018-11-29,SN
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO),2015,HAITI,F,1996.0,BRASILÉIA,2018-11-29,HT
ELIGIBILIDADE - INDEFERIDO,2016,COSTA DO MARFIM,M,1987.0,PORTO ALEGRE,2018-12-20,CI
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO),2017,HAITI,M,1991.0,UBERLÂNDIA,2018-12-20,HT
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - INDEFERIDO,2018,GUINÉ,M,1992.0,SÃO PAULO,2018-12-20,GN
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO,2018,PAQUISTÃO,M,1992.0,SÃO PAULO,2018-12-20,PK
ELIGIBILIDADE - INDEFERIDO,2016,ANGOLA,M,1985.0,SÃO PAULO,2018-09-28,AO
ELIGIBILIDADE - DEFERIDO,2017,SÍRIA,M,2014.0,ITAÍ,2018-09-28,SY
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO,2017,LÍBANO,F,1990.0,BRASÍLIA,2018-09-28,LB
PERDA DA CONDIÇÃO DE REFUGIADO,2014,CUBA,M,1992.0,BRASÍLIA,2018-09-28,CU
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - INDEFERIDO,2018,REP.DOMINICANA,F,2008.0,SÃO PAULO,2018-09-28,DO
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO),2014,HAITI,M,1980.0,BRASILÉIA,2018-09-28,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,VENEZUELA,M,2012.0,BOA VISTA,2018-06-29,VE
